ID;Data;Mês;Trimestre;Ano;Plano;Duração;Renovação Automática;Valor (R$);Desconto (%);Valor Final (R$);País;Região;Gênero;Faixa Etária
1;24/01/2023;Janeiro;T1;2023;Xbox Game Pass Core;Mensal;Não;29,9;15;25,41;México;América do Norte;Masculino;25-34
2;03/01/2023;Janeiro;T1;2023;Xbox Game Pass Core;Trimestral;Sim;79,9;0;79,9;México;América do Norte;Feminino;25-34
3;09/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;15;46,66;Brasil;América do Sul;Masculino;18-24
4;03/02/2024;Fevereiro;T1;2024;Xbox Game Pass PC;Mensal;Sim;39,9;0;39,9;Chile;América do Sul;Feminino;25-34
5;18/02/2024;Fevereiro;T1;2024;Xbox Game Pass Core;Trimestral;Não;79,9;0;79,9;Argentina;América do Sul;Feminino;18-24
6;03/05/2023;Maio;T2;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;5;474,9;México;América do Norte;Masculino;25-34
7;09/11/2023;Novembro;T4;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;15;127,42;Brasil;América do Sul;Feminino;18-24
8;21/05/2024;Maio;T2;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;20;43,92;Chile;América do Sul;Masculino;18-24
9;09/07/2024;Julho;T3;2024;Xbox Game Pass Core;Anual;Sim;269,9;15;229,41;Brasil;América do Sul;Feminino;25-34
10;09/03/2024;Março;T1;2024;Xbox Game Pass Core;Trimestral;Sim;79,9;15;67,92;Argentina;América do Sul;Feminino;25-34
11;17/03/2023;Março;T1;2023;Xbox Game Pass PC;Anual;Não;359,9;0;359,9;México;América do Norte;Feminino;25-34
12;13/07/2023;Julho;T3;2023;Xbox Game Pass PC;Mensal;Sim;39,9;10;35,91;Colômbia;América do Sul;Masculino;35-44
13;11/11/2024;Novembro;T4;2024;Xbox Game Pass Core;Mensal;Sim;29,9;15;25,41;Colômbia;América do Sul;Masculino;25-34
14;04/09/2023;Setembro;T3;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;10;49,41;Brasil;América do Sul;Masculino;18-24
15;11/10/2023;Outubro;T4;2023;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Chile;América do Sul;Masculino;18-24
16;24/02/2023;Fevereiro;T1;2023;Xbox Game Pass PC;Mensal;Não;39,9;20;31,92;Brasil;América do Sul;Feminino;55+
17;17/05/2023;Maio;T2;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;10;49,41;Chile;América do Sul;Feminino;35-44
18;21/11/2024;Novembro;T4;2024;Xbox Game Pass PC;Anual;Sim;359,9;0;359,9;Brasil;América do Sul;Masculino;25-34
19;08/10/2023;Outubro;T4;2023;Xbox Game Pass Core;Trimestral;Sim;79,9;0;79,9;Colômbia;América do Sul;Feminino;18-24
20;22/05/2023;Maio;T2;2023;Xbox Game Pass PC;Trimestral;Não;109,9;10;98,91;Argentina;América do Sul;Masculino;25-34
21;04/04/2024;Abril;T2;2024;Xbox Game Pass Core;Mensal;Sim;29,9;5;28,4;Colômbia;América do Sul;Masculino;35-44
22;13/01/2023;Janeiro;T1;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;0;499,9;Brasil;América do Sul;Masculino;25-34
23;08/08/2024;Agosto;T3;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;20;43,92;Argentina;América do Sul;Masculino;55+
24;25/02/2023;Fevereiro;T1;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Colômbia;América do Sul;Feminino;18-24
25;09/07/2023;Julho;T3;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;15;424,91;Peru;América do Sul;Não Informado;25-34
26;07/03/2024;Março;T1;2024;Xbox Game Pass Core;Anual;Sim;269,9;10;242,91;Brasil;América do Sul;Masculino;18-24
27;28/09/2024;Setembro;T3;2024;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Brasil;América do Sul;Feminino;35-44
28;04/07/2023;Julho;T3;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;México;América do Norte;Masculino;25-34
29;07/05/2024;Maio;T2;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;México;América do Norte;Masculino;25-34
30;15/01/2023;Janeiro;T1;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;10;134,91;Brasil;América do Sul;Masculino;45-54
31;12/04/2023;Abril;T2;2023;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;México;América do Norte;Não Informado;35-44
32;27/11/2023;Novembro;T4;2023;Xbox Game Pass PC;Anual;Sim;359,9;0;359,9;Brasil;América do Sul;Feminino;35-44
33;10/05/2023;Maio;T2;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;15;127,42;Colômbia;América do Sul;Masculino;25-34
34;21/02/2023;Fevereiro;T1;2023;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Brasil;América do Sul;Não Informado;18-24
35;23/09/2024;Setembro;T3;2024;Xbox Game Pass PC;Mensal;Sim;39,9;15;33,91;Colômbia;América do Sul;Masculino;45-54
36;05/07/2023;Julho;T3;2023;Xbox Game Pass Core;Mensal;Não;29,9;20;23,92;Brasil;América do Sul;Masculino;35-44
37;25/06/2023;Junho;T2;2023;Xbox Game Pass PC;Anual;Não;359,9;15;305,91;Brasil;América do Sul;Feminino;45-54
38;01/07/2023;Julho;T3;2023;Xbox Game Pass Core;Anual;Não;269,9;5;256,4;Chile;América do Sul;Feminino;35-44
39;26/03/2024;Março;T1;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;5;52,15;Brasil;América do Sul;Feminino;25-34
40;08/04/2024;Abril;T2;2024;Xbox Game Pass Core;Mensal;Sim;29,9;20;23,92;Brasil;América do Sul;Feminino;25-34
41;27/11/2024;Novembro;T4;2024;Xbox Game Pass PC;Anual;Sim;359,9;0;359,9;Brasil;América do Sul;Não Informado;25-34
42;14/10/2023;Outubro;T4;2023;Xbox Game Pass PC;Anual;Sim;359,9;10;323,91;Brasil;América do Sul;Feminino;18-24
43;14/12/2023;Dezembro;T4;2023;Xbox Game Pass Core;Anual;Sim;269,9;15;229,41;Colômbia;América do Sul;Feminino;18-24
44;22/02/2024;Fevereiro;T1;2024;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;México;América do Norte;Masculino;25-34
45;13/06/2024;Junho;T2;2024;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;15;127,42;Colômbia;América do Sul;Feminino;45-54
46;18/07/2024;Julho;T3;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;20;43,92;Argentina;América do Sul;Feminino;25-34
47;07/11/2024;Novembro;T4;2024;Xbox Game Pass PC;Anual;Não;359,9;15;305,91;Brasil;América do Sul;Masculino;25-34
48;27/02/2024;Fevereiro;T1;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;20;43,92;Brasil;América do Sul;Masculino;18-24
49;28/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;10;49,41;Brasil;América do Sul;Feminino;25-34
50;21/03/2023;Março;T1;2023;Xbox Game Pass Ultimate;Anual;Não;499,9;0;499,9;Chile;América do Sul;Masculino;35-44
51;18/01/2024;Janeiro;T1;2024;Xbox Game Pass Core;Anual;Sim;269,9;20;215,92;Argentina;América do Sul;Masculino;25-34
52;20/08/2024;Agosto;T3;2024;Xbox Game Pass Ultimate;Anual;Sim;499,9;10;449,91;Brasil;América do Sul;Masculino;45-54
53;25/05/2024;Maio;T2;2024;Xbox Game Pass Core;Trimestral;Não;79,9;10;71,91;Argentina;América do Sul;Masculino;25-34
54;09/04/2024;Abril;T2;2024;Xbox Game Pass PC;Anual;Sim;359,9;0;359,9;Brasil;América do Sul;Feminino;35-44
55;14/07/2023;Julho;T3;2023;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Brasil;América do Sul;Feminino;25-34
56;13/10/2023;Outubro;T4;2023;Xbox Game Pass PC;Anual;Sim;359,9;5;341,9;Colômbia;América do Sul;Não Informado;25-34
57;08/08/2023;Agosto;T3;2023;Xbox Game Pass Core;Mensal;Sim;29,9;15;25,41;México;América do Norte;Masculino;18-24
58;20/03/2024;Março;T1;2024;Xbox Game Pass PC;Anual;Sim;359,9;15;305,91;Brasil;América do Sul;Feminino;18-24
59;02/03/2024;Março;T1;2024;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;Chile;América do Sul;Masculino;35-44
60;27/05/2024;Maio;T2;2024;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;Brasil;América do Sul;Masculino;55+
61;08/01/2023;Janeiro;T1;2023;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;Argentina;América do Sul;Masculino;55+
62;09/12/2024;Dezembro;T4;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;15;46,66;México;América do Norte;Feminino;18-24
63;19/02/2024;Fevereiro;T1;2024;Xbox Game Pass Core;Mensal;Sim;29,9;5;28,4;Brasil;América do Sul;Feminino;18-24
64;23/02/2023;Fevereiro;T1;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;0;499,9;Chile;América do Sul;Feminino;18-24
65;12/11/2024;Novembro;T4;2024;Xbox Game Pass Core;Trimestral;Sim;79,9;5;75,91;Chile;América do Sul;Masculino;55+
66;05/12/2024;Dezembro;T4;2024;Xbox Game Pass PC;Trimestral;Não;109,9;0;109,9;México;América do Norte;Feminino;35-44
67;27/07/2024;Julho;T3;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;20;43,92;Colômbia;América do Sul;Masculino;25-34
68;20/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Masculino;35-44
69;20/05/2024;Maio;T2;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Feminino;25-34
70;16/12/2023;Dezembro;T4;2023;Xbox Game Pass Ultimate;Mensal;Não;54,9;0;54,9;Brasil;América do Sul;Masculino;18-24
71;18/08/2024;Agosto;T3;2024;Xbox Game Pass PC;Mensal;Não;39,9;0;39,9;Brasil;América do Sul;Masculino;25-34
72;24/02/2023;Fevereiro;T1;2023;Xbox Game Pass Core;Mensal;Sim;29,9;20;23,92;México;América do Norte;Masculino;35-44
73;19/12/2024;Dezembro;T4;2024;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;Chile;América do Sul;Masculino;25-34
74;23/01/2024;Janeiro;T1;2024;Xbox Game Pass PC;Mensal;Não;39,9;10;35,91;Brasil;América do Sul;Feminino;35-44
75;28/02/2024;Fevereiro;T1;2024;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;Brasil;América do Sul;Masculino;55+
76;27/02/2024;Fevereiro;T1;2024;Xbox Game Pass Core;Mensal;Sim;29,9;15;25,41;Brasil;América do Sul;Masculino;25-34
77;08/02/2024;Fevereiro;T1;2024;Xbox Game Pass Core;Anual;Sim;269,9;20;215,92;México;América do Norte;Feminino;25-34
78;28/05/2024;Maio;T2;2024;Xbox Game Pass PC;Mensal;Sim;39,9;0;39,9;México;América do Norte;Feminino;55+
79;07/11/2023;Novembro;T4;2023;Xbox Game Pass Core;Mensal;Sim;29,9;10;26,91;Brasil;América do Sul;Masculino;25-34
80;02/05/2024;Maio;T2;2024;Xbox Game Pass Core;Trimestral;Não;79,9;5;75,91;Brasil;América do Sul;Masculino;25-34
81;04/07/2023;Julho;T3;2023;Xbox Game Pass PC;Trimestral;Não;109,9;20;87,92;Brasil;América do Sul;Masculino;35-44
82;04/08/2024;Agosto;T3;2024;Xbox Game Pass PC;Mensal;Sim;39,9;0;39,9;Argentina;América do Sul;Masculino;18-24
83;24/07/2023;Julho;T3;2023;Xbox Game Pass PC;Mensal;Sim;39,9;15;33,91;Chile;América do Sul;Feminino;55+
84;02/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;5;52,15;Colômbia;América do Sul;Masculino;25-34
85;16/02/2024;Fevereiro;T1;2024;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Brasil;América do Sul;Masculino;25-34
86;02/09/2024;Setembro;T3;2024;Xbox Game Pass PC;Mensal;Sim;39,9;20;31,92;Brasil;América do Sul;Masculino;55+
87;02/07/2024;Julho;T3;2024;Xbox Game Pass Core;Mensal;Não;29,9;15;25,41;Brasil;América do Sul;Masculino;25-34
88;15/05/2023;Maio;T2;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;15;46,66;México;América do Norte;Masculino;18-24
89;14/09/2023;Setembro;T3;2023;Xbox Game Pass Core;Anual;Não;269,9;5;256,4;Colômbia;América do Sul;Feminino;18-24
90;23/09/2024;Setembro;T3;2024;Xbox Game Pass Core;Anual;Não;269,9;0;269,9;Argentina;América do Sul;Masculino;18-24
91;09/02/2023;Fevereiro;T1;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;20;399,92;Argentina;América do Sul;Feminino;25-34
92;19/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;10;49,41;Argentina;América do Sul;Masculino;35-44
93;11/08/2024;Agosto;T3;2024;Xbox Game Pass Ultimate;Anual;Sim;499,9;5;474,9;Brasil;América do Sul;Feminino;18-24
94;26/12/2024;Dezembro;T4;2024;Xbox Game Pass PC;Anual;Não;359,9;15;305,91;Peru;América do Sul;Masculino;18-24
95;28/02/2024;Fevereiro;T1;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;0;54,9;México;América do Norte;Masculino;35-44
96;16/02/2023;Fevereiro;T1;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;5;52,15;México;América do Norte;Feminino;45-54
97;21/06/2024;Junho;T2;2024;Xbox Game Pass Ultimate;Anual;Não;499,9;0;499,9;México;América do Norte;Masculino;35-44
98;24/04/2024;Abril;T2;2024;Xbox Game Pass Core;Anual;Não;269,9;15;229,41;Colômbia;América do Sul;Masculino;35-44
99;11/01/2023;Janeiro;T1;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Masculino;35-44
100;06/03/2023;Março;T1;2023;Xbox Game Pass Core;Anual;Sim;269,9;0;269,9;Argentina;América do Sul;Feminino;18-24
101;09/08/2024;Agosto;T3;2024;Xbox Game Pass Ultimate;Anual;Sim;499,9;0;499,9;México;América do Norte;Masculino;25-34
102;10/10/2024;Outubro;T4;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;20;43,92;Brasil;América do Sul;Não Informado;45-54
103;13/04/2023;Abril;T2;2023;Xbox Game Pass PC;Trimestral;Não;109,9;0;109,9;Brasil;América do Sul;Feminino;25-34
104;28/10/2023;Outubro;T4;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;10;134,91;México;América do Norte;Feminino;45-54
105;26/10/2023;Outubro;T4;2023;Xbox Game Pass PC;Trimestral;Sim;109,9;15;93,42;Chile;América do Sul;Feminino;35-44
106;04/11/2023;Novembro;T4;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;5;142,41;Brasil;América do Sul;Masculino;18-24
107;24/06/2024;Junho;T2;2024;Xbox Game Pass PC;Mensal;Não;39,9;0;39,9;Argentina;América do Sul;Feminino;45-54
108;26/08/2024;Agosto;T3;2024;Xbox Game Pass Core;Anual;Não;269,9;5;256,4;Peru;América do Sul;Masculino;55+
109;12/09/2024;Setembro;T3;2024;Xbox Game Pass Core;Mensal;Sim;29,9;0;29,9;Argentina;América do Sul;Feminino;35-44
110;12/11/2024;Novembro;T4;2024;Xbox Game Pass Core;Mensal;Sim;29,9;10;26,91;Brasil;América do Sul;Feminino;35-44
111;10/12/2024;Dezembro;T4;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Masculino;18-24
112;15/07/2023;Julho;T3;2023;Xbox Game Pass PC;Anual;Sim;359,9;10;323,91;Brasil;América do Sul;Feminino;18-24
113;04/11/2024;Novembro;T4;2024;Xbox Game Pass Ultimate;Trimestral;Não;149,9;0;149,9;Brasil;América do Sul;Masculino;25-34
114;04/06/2023;Junho;T2;2023;Xbox Game Pass Ultimate;Mensal;Não;54,9;15;46,66;Brasil;América do Sul;Masculino;18-24
115;03/08/2023;Agosto;T3;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;Brasil;América do Sul;Masculino;55+
116;27/02/2023;Fevereiro;T1;2023;Xbox Game Pass Ultimate;Mensal;Sim;54,9;20;43,92;Brasil;América do Sul;Feminino;35-44
117;28/05/2023;Maio;T2;2023;Xbox Game Pass Ultimate;Anual;Sim;499,9;20;399,92;Brasil;América do Sul;Feminino;18-24
118;26/06/2023;Junho;T2;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;0;149,9;Brasil;América do Sul;Feminino;25-34
119;15/08/2023;Agosto;T3;2023;Xbox Game Pass Ultimate;Trimestral;Sim;149,9;10;134,91;Brasil;América do Sul;Feminino;35-44
120;21/08/2024;Agosto;T3;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;5;52,15;Brasil;América do Sul;Masculino;35-44
121;03/02/2024;Fevereiro;T1;2024;Xbox Game Pass PC;Mensal;Sim;39,9;10;35,91;México;América do Norte;Masculino;25-34
122;17/08/2024;Agosto;T3;2024;Xbox Game Pass Ultimate;Mensal;Não;54,9;20;43,92;México;América do Norte;Feminino;25-34
123;15/07/2023;Julho;T3;2023;Xbox Game Pass Ultimate;Mensal;Não;54,9;5;52,15;Brasil;América do Sul;Masculino;25-34
124;05/06/2024;Junho;T2;2024;Xbox Game Pass Ultimate;Mensal;Sim;54,9;0;54,9;Brasil;América do Sul;Masculino;35-44
125;02/09/2023;Setembro;T3;2023;Xbox Game Pass PC;Trimestral;Sim;109,9;0;109,9;Brasil;América do Sul;Feminino;55+
